iter	Passed	Remaining
782	1233	341
783	1234	340
784	1235	338
785	1237	336
786	1238	335
787	1240	333
788	1241	331
789	1242	330
790	1244	328
791	1245	327
792	1246	325
793	1248	323
794	1249	322
795	1250	320
796	1252	318
797	1253	317
798	1255	315
799	1256	314
800	1258	312
801	1259	310
802	1260	309
803	1262	307
804	1263	306
805	1264	304
806	1266	302
807	1267	301
808	1268	299
809	1269	297
810	1271	296
811	1272	294
812	1273	293
813	1275	291
814	1276	289
815	1277	288
816	1279	286
817	1280	284
818	1281	283
819	1282	281
820	1284	280
821	1285	278
822	1287	276
823	1288	275
824	1289	273
825	1290	271
826	1291	270
827	1293	268
828	1294	266
829	1295	265
830	1296	263
831	1297	262
832	1298	260
833	1299	258
834	1301	257
835	1302	255
836	1303	253
837	1305	252
838	1306	250
839	1307	249
840	1309	247
841	1310	245
842	1311	244
843	1313	242
844	1314	241
845	1315	239
846	1317	237
847	1318	236
848	1319	234
849	1320	233
850	1322	231
851	1323	229
852	1324	228
853	1326	226
854	1327	225
855	1328	223
856	1330	221
857	1331	220
858	1332	218
859	1333	217
860	1335	215
861	1336	213
862	1338	212
863	1339	210
864	1340	209
865	1342	207
866	1343	206
867	1344	204
868	1345	202
869	1346	201
870	1348	199
871	1349	198
872	1350	196
873	1352	194
874	1353	193
875	1354	191
876	1355	190
877	1357	188
878	1358	187
879	1359	185
880	1361	183
881	1362	182
882	1363	180
883	1365	179
884	1366	177
885	1367	175
886	1369	174
887	1370	172
888	1372	171
889	1373	169
890	1375	168
891	1376	166
892	1377	165
893	1379	163
894	1380	161
895	1381	160
896	1383	158
897	1384	157
898	1386	155
899	1387	154
900	1388	152
901	1389	151
902	1391	149
903	1392	147
904	1393	146
905	1395	144
906	1396	143
907	1397	141
908	1399	140
909	1400	138
910	1401	136
911	1402	135
912	1403	133
913	1405	132
914	1406	130
915	1407	129
916	1408	127
917	1409	125
918	1410	124
919	1412	122
920	1413	121
921	1414	119
922	1415	118
923	1416	116
924	1417	114
925	1419	113
926	1420	111
927	1421	110
928	1422	108
929	1423	107
930	1425	105
931	1426	104
932	1427	102
933	1429	100
934	1430	99
935	1431	97
936	1432	96
937	1434	94
938	1435	93
939	1436	91
940	1437	90
941	1439	88
942	1440	87
943	1441	85
944	1443	83
945	1444	82
946	1445	80
947	1447	79
948	1448	77
949	1450	76
950	1451	74
951	1452	73
952	1453	71
953	1455	70
954	1456	68
955	1457	67
956	1459	65
957	1460	64
958	1461	62
959	1463	60
960	1464	59
961	1466	57
962	1467	56
963	1468	54
964	1469	53
965	1471	51
966	1472	50
967	1473	48
968	1475	47
969	1476	45
970	1478	44
971	1479	42
972	1481	41
973	1482	39
974	1483	38
975	1485	36
976	1486	34
977	1488	33
978	1489	31
979	1490	30
980	1492	28
981	1493	27
982	1495	25
983	1496	24
984	1497	22
985	1499	21
986	1500	19
987	1502	18
988	1503	16
989	1504	15
990	1506	13
991	1507	12
992	1508	10
993	1510	9
994	1511	7
995	1512	6
996	1514	4
997	1515	3
998	1517	1
999	1519	0
